pokedex_number,name,generation,type1,type2,ability1,ability2,base_total,hp,attack,defense,sp_attack,sp_defense,speed,normal,fire,water,grass,electric,rock,ground,flying,fighting,ice,bug,steel,poison,psychic,dark,ghost,fairy,dragon
45,Vileplume,1,grass,poison,Chlorophyll,Effect Spore,490,75,80,85,110,90,50,1.0,2.0,0.5,0.25,0.5,1.0,1.0,2.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0
46,Paras,1,bug,grass,Effect Spore,Dry Skin,285,35,70,55,45,55,25,1.0,4.0,0.5,0.25,0.5,2.0,0.25,4.0,0.5,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
47,Parasect,1,bug,grass,Effect Spore,Dry Skin,405,60,95,80,60,80,30,1.0,4.0,0.5,0.25,0.5,2.0,0.25,4.0,0.5,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
48,Venonat,1,bug,poison,Compoundeyes,Tinted Lens,305,60,55,50,40,55,45,1.0,2.0,1.0,0.25,1.0,2.0,1.0,2.0,0.25,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
49,Venomoth,1,bug,poison,Shield Dust,Tinted Lens,450,70,65,60,90,75,90,1.0,2.0,1.0,0.25,1.0,2.0,1.0,2.0,0.25,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
50,Diglett,1,ground,ground,Sand Veil,Arena Trap,265,10,55,30,35,45,90,1.0,1.0,2.0,2.0,0.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
51,Dugtrio,1,ground,ground,Sand Veil,Arena Trap,425,35,100,60,50,70,110,1.0,1.0,2.0,2.0,0.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
52,Meowth,1,normal,dark,Pickup,Technician,290,40,35,35,50,40,90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
53,Persian,1,normal,dark,Limber,Technician,440,65,60,60,75,65,115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
54,Psyduck,1,water,-,Damp,Cloud Nine,320,50,52,48,65,50,55,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
55,Golduck,1,water,-,Damp,Cloud Nine,500,80,82,78,95,80,85,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
56,Mankey,1,fighting,-,Vital Spirit,Anger Point,305,40,80,35,35,45,70,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.5,1.0,2.0,1.0
57,Primeape,1,fighting,-,Vital Spirit,Anger Point,455,65,105,60,60,70,95,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.5,1.0,2.0,1.0
58,Growlithe,1,fire,-,Intimidate,Flash Fire,350,55,70,45,70,50,60,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0
59,Arcanine,1,fire,-,Intimidate,Flash Fire,555,90,110,80,100,80,95,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0
60,Poliwag,1,water,-,Water Absorb,Damp,300,40,50,40,40,40,90,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
61,Poliwhirl,1,water,-,Water Absorb,Damp,385,65,65,65,50,50,90,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
62,Poliwrath,1,water,fighting,Water Absorb,Damp,510,90,95,95,70,90,70,1.0,0.5,0.5,2.0,2.0,0.5,1.0,2.0,1.0,0.5,0.5,0.5,1.0,2.0,0.5,1.0,2.0,1.0
63,Abra,1,psychic,-,Synchronize,Inner Focus,310,25,20,15,105,55,90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
64,Kadabra,1,psychic,-,Synchronize,Inner Focus,400,40,35,30,120,70,105,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
65,Alakazam,1,psychic,-,Synchronize,Inner Focus,600,55,50,65,175,105,150,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
66,Machop,1,fighting,-,Guts,No Guard,305,70,80,50,35,35,35,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.5,1.0,2.0,1.0
67,Machoke,1,fighting,-,Guts,No Guard,405,80,100,70,50,60,45,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.5,1.0,2.0,1.0
68,Machamp,1,fighting,-,Guts,No Guard,505,90,130,80,65,85,55,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.5,1.0,2.0,1.0
69,Bellsprout,1,grass,poison,Chlorophyll,Gluttony,300,50,75,35,70,30,40,1.0,2.0,0.5,0.25,0.5,1.0,1.0,2.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0
70,Weepinbell,1,grass,poison,Chlorophyll,Gluttony,390,65,90,50,85,45,55,1.0,2.0,0.5,0.25,0.5,1.0,1.0,2.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0
71,Victreebel,1,grass,poison,Chlorophyll,Gluttony,490,80,105,65,100,70,70,1.0,2.0,0.5,0.25,0.5,1.0,1.0,2.0,0.5,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0
72,Tentacool,1,water,poison,Clear Body,Liquid Ooze,335,40,40,35,50,100,70,1.0,0.5,0.5,1.0,2.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,0.5,2.0,1.0,1.0,0.5,1.0
73,Tentacruel,1,water,poison,Clear Body,Liquid Ooze,515,80,70,65,80,120,100,1.0,0.5,0.5,1.0,2.0,1.0,2.0,1.0,0.5,0.5,0.5,0.5,0.5,2.0,1.0,1.0,0.5,1.0
74,Geodude,1,rock,ground,Rock Head,Sturdy,300,40,80,100,30,30,20,0.5,0.5,4.0,4.0,0.0,0.5,2.0,0.5,2.0,2.0,1.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0
75,Graveler,1,rock,ground,Rock Head,Sturdy,390,55,95,115,45,45,35,0.5,0.5,4.0,4.0,0.0,0.5,2.0,0.5,2.0,2.0,1.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0
76,Golem,1,rock,ground,Rock Head,Sturdy,495,80,120,130,55,65,45,0.5,0.5,4.0,4.0,0.0,0.5,2.0,0.5,2.0,2.0,1.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0
77,Ponyta,1,fire,-,Run Away,Flash Fire,410,50,85,55,65,65,90,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0
78,Rapidash,1,fire,-,Run Away,Flash Fire,500,65,100,70,80,80,105,1.0,0.5,2.0,0.5,1.0,2.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,1.0
79,Slowpoke,1,water,psychic,Oblivious,Own Tempo,315,90,65,65,40,40,15,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,0.5,0.5,2.0,0.5,1.0,0.5,2.0,2.0,1.0,1.0
80,Slowbro,1,water,psychic,Oblivious,Own Tempo,590,95,75,180,130,80,30,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,0.5,0.5,2.0,0.5,1.0,0.5,2.0,2.0,1.0,1.0
81,Magnemite,1,electric,steel,Magnet Pull,Sturdy,325,25,35,70,95,55,45,0.5,2.0,1.0,0.5,0.5,0.5,4.0,0.25,2.0,0.5,0.5,0.25,0.0,0.5,1.0,1.0,0.5,0.5
82,Magneton,1,electric,steel,Magnet Pull,Sturdy,465,50,60,95,120,70,70,0.5,2.0,1.0,0.5,0.5,0.5,4.0,0.25,2.0,0.5,0.5,0.25,0.0,0.5,1.0,1.0,0.5,0.5
83,Farfetch'd,1,normal,flying,Keen Eye,Inner Focus,377,52,90,55,58,62,60,1.0,1.0,1.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0
84,Doduo,1,normal,flying,Run Away,Early Bird,310,35,85,45,35,35,75,1.0,1.0,1.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0
85,Dodrio,1,normal,flying,Run Away,Early Bird,470,60,110,70,60,60,110,1.0,1.0,1.0,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0
86,Seel,1,water,-,Thick Fat,Hydration,325,65,45,55,45,70,45,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
87,Dewgong,1,water,ice,Thick Fat,Hydration,475,90,70,80,70,95,70,1.0,1.0,0.5,2.0,2.0,2.0,1.0,1.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,Grimer,1,poison,poison,Stench,Sticky Hold,325,80,80,50,40,50,25,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
89,Muk,1,poison,poison,Stench,Sticky Hold,500,105,105,75,65,100,50,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
90,Shellder,1,water,-,Shell Armor,Skill Link,305,30,65,100,45,25,40,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
91,Cloyster,1,water,ice,Shell Armor,Skill Link,525,50,95,180,85,45,70,1.0,1.0,0.5,2.0,2.0,2.0,1.0,1.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,Gastly,1,ghost,poison,Levitate,-,310,30,35,30,100,35,80,0.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.0,1.0,0.25,1.0,0.25,2.0,2.0,2.0,0.5,1.0
93,Haunter,1,ghost,poison,Levitate,-,405,45,50,45,115,55,95,0.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.0,1.0,0.25,1.0,0.25,2.0,2.0,2.0,0.5,1.0
94,Gengar,1,ghost,poison,Cursed Body,-,600,60,65,80,170,95,130,0.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.0,1.0,0.25,1.0,0.25,2.0,2.0,2.0,0.5,1.0
95,Onix,1,rock,ground,Rock Head,Sturdy,385,35,45,160,30,45,70,0.5,0.5,4.0,4.0,0.0,0.5,2.0,0.5,2.0,2.0,1.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0
96,Drowzee,1,psychic,-,Insomnia,Forewarn,328,60,48,45,43,90,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
97,Hypno,1,psychic,-,Insomnia,Forewarn,483,85,73,70,73,115,67,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
98,Krabby,1,water,-,Hyper Cutter,Shell Armor,325,30,105,90,25,25,50,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
99,Kingler,1,water,-,Hyper Cutter,Shell Armor,475,55,130,115,50,50,75,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
100,Voltorb,1,electric,-,Soundproof,Static,330,40,30,50,55,55,100,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
101,Electrode,1,electric,-,Soundproof,Static,490,60,50,70,80,80,150,1.0,1.0,1.0,1.0,0.5,1.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
102,Exeggcute,1,grass,psychic,Chlorophyll,Harvest,325,60,40,80,60,45,40,1.0,2.0,0.5,0.5,0.5,1.0,0.5,2.0,0.5,2.0,4.0,1.0,2.0,0.5,2.0,2.0,1.0,1.0
103,Exeggutor,1,grass,psychic,Chlorophyll,Harvest,530,95,105,85,125,75,45,1.0,2.0,0.5,0.5,0.5,1.0,0.5,2.0,0.5,2.0,4.0,1.0,2.0,0.5,2.0,2.0,1.0,1.0
104,Cubone,1,ground,-,Rock Head,Lightningrod,320,50,50,95,40,50,35,1.0,1.0,2.0,2.0,0.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
105,Marowak,1,ground,fire,Rock Head,Lightningrod,425,60,80,110,50,80,45,1.0,1.0,2.0,2.0,0.0,0.5,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
106,Hitmonlee,1,fighting,-,Limber,Reckless,455,50,120,53,35,110,87,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.5,1.0,2.0,1.0
107,Hitmonchan,1,fighting,-,Keen Eye,Iron Fist,455,50,105,79,35,110,76,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,0.5,1.0,2.0,1.0
108,Lickitung,1,normal,-,Own Tempo,Oblivious,385,90,55,75,60,75,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
109,Koffing,1,poison,-,Levitate,-,340,40,65,95,60,45,35,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
110,Weezing,1,poison,-,Levitate,-,490,65,90,120,85,70,60,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,0.5,1.0
111,Rhyhorn,1,ground,rock,Lightningrod,Rock Head,345,80,85,95,30,30,25,0.5,0.5,4.0,4.0,0.0,0.5,2.0,0.5,2.0,2.0,1.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0
112,Rhydon,1,ground,rock,Lightningrod,Rock Head,485,105,130,120,45,45,40,0.5,0.5,4.0,4.0,0.0,0.5,2.0,0.5,2.0,2.0,1.0,2.0,0.25,1.0,1.0,1.0,1.0,1.0
113,Chansey,1,normal,-,Natural Cure,Serene Grace,450,250,5,5,35,105,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
114,Tangela,1,grass,-,Chlorophyll,Leaf Guard,435,65,55,115,100,40,60,1.0,2.0,0.5,0.5,0.5,1.0,0.5,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
115,Kangaskhan,1,normal,-,Early Bird,Scrappy,590,105,125,100,60,100,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
116,Horsea,1,water,-,Swift Swim,Sniper,295,30,40,70,70,25,60,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
117,Seadra,1,water,-,Poison Point,Sniper,440,55,65,95,95,45,85,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
118,Goldeen,1,water,-,Swift Swim,Water Veil,320,45,67,60,35,50,63,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
119,Seaking,1,water,-,Swift Swim,Water Veil,450,80,92,65,65,80,68,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
120,Staryu,1,water,-,Illuminate,Natural Cure,340,30,45,55,70,55,85,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
121,Starmie,1,water,psychic,Illuminate,Natural Cure,520,60,75,85,100,85,115,1.0,0.5,0.5,2.0,2.0,1.0,1.0,1.0,0.5,0.5,2.0,0.5,1.0,0.5,2.0,2.0,1.0,1.0
